adj_edge_jaccard,division_fn,division_fp,division_tp,edge_fn,edge_fp,edge_jaccard,edge_tp,embryo,node_recall,num_pred_nodes,reclaimed,safe_divs,stem,total_node_ratio,variant
0.9305213450361326,2,2,3,33,29,0.9345300950369588,885,6bba,0.9850267379679144,24993,46,92,6bba_48816121,0.04289588983934905,min1_steal2
0.9152621042715124,1,8,0,38,52,0.8909090909090909,735,44b6,0.9873096446700508,42634,147,158,44b6_12dfb391,-0.27335014998636487,min1_steal3
0.7956544495689056,1,2,0,23,39,0.8037974683544303,254,44b6,1.0,21068,75,78,44b6_267148e4,0.10130684788290643,min1_steal3
0.8796645353144387,1,0,0,13,22,0.8491379310344828,197,44b6,1.0,36103,133,134,44b6_2a2eff9f,-0.3595011265456739,min1_steal3
0.9783232869449283,0,0,1,2,0,0.9904306220095693,207,44b6,0.9907407407407407,8345,24,31,44b6_341df25f,0.1222431414739107,min1_steal3
0.8751471500054652,0,1,1,21,28,0.8771929824561403,350,44b6,0.9921259842519685,18560,61,68,44b6_587a1e22,0.023322489937696422,min1_steal3
0.8681433216526443,1,2,0,25,22,0.8406779661016949,248,44b6,0.9532374100719424,19875,74,75,44b6_5f15d135,-0.3267048341745994,min1_steal3
0.8517073449884118,1,1,0,13,13,0.8,104,44b6,0.9661016949152542,24720,91,93,44b6_706092f0,-0.6463418123551461,min1_steal3
0.9461087443592413,1,0,0,6,8,0.9047619047619048,133,44b6,1.0,8194,27,31,44b6_74d0c52e,-0.45699138502319414,min1_steal3
0.9430659731477722,1,4,0,19,31,0.9070631970260223,488,44b6,1.0,40321,141,150,44b6_7a302da0,-0.39691585150617725,min1_steal3
0.9571585904234841,1,0,0,8,2,0.9736147757255936,369,44b6,0.9868421052631579,8853,27,33,44b6_996155de,0.16902152383467584,min1_steal3
0.9375594538527963,1,2,0,12,15,0.8851063829787233,208,44b6,0.9864864864864865,23578,88,88,44b6_9be80b04,-0.5926188295868825,min1_steal3
0.9120932601072607,1,1,1,11,17,0.9075907590759076,275,44b6,0.9966216216216216,21897,66,80,44b6_a21120c2,-0.049609375,min1_steal3
1.0215964830812096,1,0,0,3,0,0.9854368932038835,203,44b6,0.9904306220095693,13990,49,52,44b6_aaf8b0ea,-0.3669396805285307,min1_steal3
0.8148008052103383,2,3,0,36,39,0.7939560439560439,289,44b6,0.972972972972973,34718,126,130,44b6_c50204e0,-0.2625430137219083,min1_steal3
0.8830663933856168,1,0,0,10,13,0.8700564971751412,154,44b6,0.9880952380952381,28188,89,104,44b6_c8e2a523,-0.1495293265749457,min1_steal3
1.0046240873855727,2,0,0,5,5,0.965034965034965,276,44b6,1.0,14198,53,53,44b6_d2f34f90,-0.4102351084157182,min1_steal3
0.8670302506335259,2,6,0,58,77,0.8608247422680413,835,44b6,0.9878587196467992,41615,148,154,44b6_d5e7d891,-0.07208794149125937,min1_steal3
0.8726029258808219,1,0,0,5,4,0.8783783783783784,65,44b6,0.9861111111111112,5511,14,20,44b6_d754aa59,0.06575130535679752,min1_steal3
0.9198450009829151,1,0,0,5,4,0.9296875,119,44b6,0.9841269841269841,15470,50,57,44b6_deabac95,0.10586889699049253,min1_steal3
0.9561241319107711,2,1,0,22,12,0.8940809968847352,287,44b6,0.9678456591639871,22859,84,86,44b6_e28840c6,-0.6939319283399834,min1_steal3
0.9842421043951514,0,1,1,10,7,0.9812154696132597,888,6bba,0.9935483870967742,5844,9,21,6bba_062c8d37,-0.030845771144278607,min1_steal3
0.8258130030519995,2,1,0,38,22,0.8365122615803815,307,6bba,0.9303621169916435,24233,19,51,6bba_07e24132,0.12790318827088668,min1_steal3
0.9978641794751512,1,1,0,4,1,0.9957228400342173,1164,6bba,0.996661101836394,8281,6,20,6bba_085bf656,-0.021505376344086023,min1_steal3
0.8969221656016655,3,6,1,89,127,0.8918918918918919,1782,6bba,0.9907692307692307,29362,23,90,6bba_09961292,-0.05640003856412893,min1_steal3
0.7912575713936992,1,0,0,22,25,0.7892376681614349,176,6bba,0.9569377990430622,21892,57,80,6bba_0e7c0d07,-0.0255930920906218,min1_steal3
0.9189313609907346,2,1,1,56,31,0.9154518950437318,942,6bba,0.971042471042471,7998,16,28,6bba_12665c0e,-0.03800817897522252,min1_steal3
0.8603399317570962,1,3,0,97,115,0.8567567567567568,1268,6bba,0.9819193324061196,17160,20,61,6bba_1d0d8384,-0.04182254732257524,min1_steal3
0.6235052425372499,0,3,1,98,88,0.654275092936803,352,6bba,0.8989473684210526,17642,35,65,6bba_207c6aaf,0.47028919076589715,min1_steal3
0.8987971934513865,2,5,1,55,40,0.8998946259220232,854,6bba,0.9621848739495799,9877,12,36,6bba_20852818,0.012195121951219513,min1_steal3
0.9867703745100779,1,0,1,5,6,0.9903339191564148,1127,6bba,1.0,12380,12,33,6bba_2312ac41,0.03598326359832636,min1_steal3
0.9078743595196761,1,0,0,44,18,0.9011164274322169,565,6bba,0.9547581903276131,4724,10,18,6bba_268e1230,-0.07499510475817506,min1_steal3
0.9614352634502862,0,1,1,28,19,0.9514462809917356,921,6bba,0.9939148073022313,4953,6,18,6bba_2819ca14,-0.10498735092157571,min1_steal3
0.6909241873546953,1,1,0,144,142,0.6998950682056663,667,6bba,0.9211136890951276,43666,127,161,6bba_32db13fc,0.1281746544374112,min1_steal3
0.9478593315752,0,2,2,27,44,0.94351630867144,1186,6bba,1.0,29077,40,106,6bba_337b1b3a,-0.04603018372703412,min1_steal3
0.796951100588355,1,3,0,92,120,0.7990521327014218,843,6bba,0.9769307923771314,53434,128,197,6bba_3abfe10a,0.026294055507538654,min1_steal3
0.9884167465643977,2,0,0,6,4,0.9866666666666667,740,6bba,0.9986928104575163,6147,2,14,6bba_3c5691b6,-0.017737296260786194,min1_steal3
0.7880938263103868,1,1,0,49,66,0.7870370370370371,425,6bba,0.9760956175298805,22924,51,84,6bba_3db54e20,-0.013427440179032536,min1_steal3
0.9943465373592415,0,2,1,13,10,0.9806560134566863,1166,6bba,0.9942004971002486,8468,7,28,6bba_3fda6b25,-0.13960577118471856,min1_steal3
0.7705931106811984,1,0,0,45,32,0.7578616352201258,241,6bba,0.9041095890410958,23540,36,83,6bba_474be664,-0.1679920828473474,min1_steal3
0.9273905724386876,2,2,3,34,31,0.9315068493150684,884,6bba,0.9850267379679144,25024,16,92,6bba_48816121,0.04418944293761736,min1_steal3
0.9163819810511489,1,7,0,38,51,0.8919902912621359,735,44b6,0.9873096446700508,42628,149,158,44b6_12dfb391,-0.2734524134169621,min2_steal2
0.7956544495689056,1,2,0,23,39,0.8037974683544303,254,44b6,1.0,21068,75,78,44b6_267148e4,0.10130684788290643,min2_steal2
0.8796645353144387,1,0,0,13,22,0.8491379310344828,197,44b6,1.0,36103,133,134,44b6_2a2eff9f,-0.3595011265456739,min2_steal2
0.9783632451464619,0,0,1,2,0,0.9904306220095693,207,44b6,0.9907407407407407,8342,26,31,44b6_341df25f,0.12183969876277569,min2_steal2
0.8752051878054843,0,1,1,21,28,0.8771929824561403,350,44b6,0.9921259842519685,18548,62,68,44b6_587a1e22,0.022660859017478083,min2_steal2
0.8681433216526443,1,2,0,25,22,0.8406779661016949,248,44b6,0.9532374100719424,19875,74,75,44b6_5f15d135,-0.3267048341745994,min2_steal2
0.8517096340381699,1,1,0,13,13,0.8,104,44b6,0.9661016949152542,24718,91,93,44b6_706092f0,-0.6463704254771238,min2_steal2
0.9461207359020481,1,0,0,6,8,0.9047619047619048,133,44b6,1.0,8192,28,31,44b6_74d0c52e,-0.4571239231278993,min2_steal2
0.9430659731477722,1,4,0,19,31,0.9070631970260223,488,44b6,1.0,40321,141,150,44b6_7a302da0,-0.39691585150617725,min2_steal2
0.9521677427425689,1,0,0,9,3,0.968421052631579,368,44b6,0.9868421052631579,8844,29,33,44b6_996155de,0.16783309124521326,min2_steal2
0.9375594538527963,1,2,0,12,15,0.8851063829787233,208,44b6,0.9864864864864865,23578,88,88,44b6_9be80b04,-0.5926188295868825,min2_steal2
0.9121050776952695,2,2,0,11,17,0.9075907590759076,275,44b6,0.9966216216216216,21894,71,80,44b6_a21120c2,-0.04973958333333333,min2_steal2
1.0215964830812096,1,0,0,3,0,0.9854368932038835,203,44b6,0.9904306220095693,13990,50,52,44b6_aaf8b0ea,-0.3669396805285307,min2_steal2
0.8148008052103383,2,3,0,36,39,0.7939560439560439,289,44b6,0.972972972972973,34718,126,130,44b6_c50204e0,-0.2625430137219083,min2_steal2
0.8830532679858887,1,0,0,10,13,0.8700564971751412,154,44b6,0.9880952380952381,28193,92,104,44b6_c8e2a523,-0.1493784697079411,min2_steal2
1.0046240873855727,2,0,0,5,5,0.965034965034965,276,44b6,1.0,14198,53,53,44b6_d2f34f90,-0.4102351084157182,min2_steal2
0.8670302506335259,2,6,0,58,77,0.8608247422680413,835,44b6,0.9878587196467992,41615,148,154,44b6_d5e7d891,-0.07208794149125937,min2_steal2
0.8981474662435129,1,0,0,4,3,0.9041095890410958,66,44b6,0.9861111111111112,5512,17,20,44b6_d754aa59,0.0659446915490234,min2_steal2
0.9198450009829151,1,0,0,5,4,0.9296875,119,44b6,0.9841269841269841,15470,50,57,44b6_deabac95,0.10586889699049253,min2_steal2
0.956128920390523,2,1,0,22,12,0.8940809968847352,287,44b6,0.9678456591639871,22855,85,86,44b6_e28840c6,-0.6939854859009721,min2_steal2
0.9821389919646701,1,0,0,12,7,0.9790055248618784,886,6bba,0.9935483870967742,5837,16,21,6bba_062c8d37,-0.032006633499170815,min2_steal2
0.8259804223084478,2,0,0,38,22,0.8365122615803815,307,6bba,0.9303621169916435,24190,76,90,6bba_07e24132,0.1259017919478706,min2_steal2
0.9970539298169752,1,0,0,5,1,0.9948674080410608,1163,6bba,0.996661101836394,8277,22,30,6bba_085bf656,-0.02197802197802198,min2_steal2
0.8970282254374267,3,5,1,90,126,0.8918377566349525,1781,6bba,0.9907692307692307,29306,68,108,6bba_09961292,-0.05819969791432336,min2_steal2
0.7912856743951916,1,0,0,22,25,0.7892376681614349,176,6bba,0.9569377990430622,21884,61,80,6bba_0e7c0d07,-0.025949169893621758,min2_steal2
0.9190194487362284,2,1,1,56,31,0.9154518950437318,942,6bba,0.971042471042471,7990,25,29,6bba_12665c0e,-0.03897041135434207,min2_steal2
0.8585442568438474,1,4,0,98,117,0.8549257759784076,1267,6bba,0.9819193324061196,17151,43,63,6bba_1d0d8384,-0.042325087944608854,min2_steal2
0.6142711892657722,1,2,0,102,90,0.6444444444444445,348,6bba,0.8947368421052632,17617,48,65,6bba_207c6aaf,0.4682056838069839,min2_steal2
0.8946240862378517,3,5,0,59,40,0.8956796628029505,850,6bba,0.957983193277311,9873,20,36,6bba_20852818,0.011785201885632302,min2_steal2
0.9860696272513876,1,0,1,5,7,0.9894644424934153,1127,6bba,1.0,12360,31,46,6bba_2312ac41,0.03430962343096234,min2_steal2
